fp.3.Luci_03G08.ctg.ctg7180000034479 fp.2.Luci_02H12.ctg.ctg7180000019811
fp.3.Luci_03B04.ctg.ctg7180000031859 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_06B05.ctg.ctg7180000079637 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_52A02.ctg.jtg7180000579157f_7180000579158f fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_05B01.ctg.ctg7180000118091 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_18H10.ctg.ctg7180000162069 fp.2.Luci_02H12.ctg.ctg7180000020114
fp.3.Luci_04H07.ctg.ctg7180000179405 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_02E04.ctg.jtg7180000109415f_7180000109416f_7180000084212f_7180000109417f fp.2.Luci_02H12.ctg.ctg7180000020126
fp.2.Luci_18E06.ctg.ctg7180000255543 fp.2.Luci_02H12.ctg.ctg7180000020271
fp.3.Luci_21D07.ctg.ctg7180000234432 fp.2.Luci_02H12.ctg.ctg7180000020141
fp.3.Luci_13H12.ctg.ctg7180000111877 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_14E11.ctg.ctg7180000096170 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_12B07.ctg.ctg7180000126172 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_10H03.ctg.ctg7180000421555 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_81B09.ctg.jtg7180000052001f_7180000053667r fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_17F09.ctg.ctg7180000127140 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_03B07.ctg.ctg7180000069881 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_07G03.ctg.ctg7180000052288 fp.2.Luci_02H12.ctg.ctg7180000020508
fp.3.Luci_52B08.ctg.ctg7180000518782 fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_03H09.ctg.ctg7180000107277 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_02G10.ctg.ctg7180000068810 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_04H11.ctg.ctg7180000108282 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_99A50.ctg.ctg7180001459628 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_03E04.ctg.ctg7180000033255 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_17H06.ctg.ctg7180000117249 fp.2.Luci_02H12.ctg.ctg7180000020089
fp.3.Luci_99A25.ctg.ctg7180002007697 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_13D04.ctg.jtg7180000121867f_7180000121868f fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_05B01.ctg.ctg7180000115450 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_03H11.ctg.ctg7180000053508 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_14A10.ctg.ctg7180000144070 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.2.Luci_18H01.ctg.ctg7180000187438 fp.2.Luci_02H12.ctg.ctg7180000019634
fp.3.Luci_05E03.ctg.ctg7180000021422 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.2.Luci_18E06.ctg.ctg7180000251282 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_04G10.ctg.ctg7180000163616 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_02C05.ctg.ctg7180000078489 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_04A02.ctg.ctg7180000142026 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_14H10.ctg.ctg7180000157179 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_01H09.ctg.ctg7180000077876 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_02C12.ctg.ctg7180000084151 fp.2.Luci_02H12.ctg.ctg7180000019868
fp.3.Luci_01G05.ctg.ctg7180000086958 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_04G07.ctg.ctg7180000181627 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_03A04.ctg.ctg7180000053121 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_03E01.ctg.ctg7180000025707 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_04E06.ctg.ctg7180000048064 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_04F12.ctg.ctg7180000205810 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_13A03.ctg.ctg7180000292113 fp.2.Luci_02H12.ctg.ctg7180000019864
fp.3.Luci_02H06.ctg.ctg7180000102593 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_13C11.ctg.ctg7180000130371 fp.2.Luci_02H12.ctg.ctg7180000019852
fp.3.Luci_04A10.ctg.ctg7180000098325 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_17A05.ctg.ctg7180000138556 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_07F12.ctg.ctg7180000373173 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_13D08.ctg.ctg7180000127568 fp.2.Luci_02H12.ctg.ctg7180000020141
fp.3.Luci_05A07.ctg.ctg7180000087003 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_52H02.ctg.jtg7180000410555f_7180000738394f fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_01E08.ctg.ctg7180000156531 fp.2.Luci_02H12.ctg.ctg7180000020199
fp.3.Luci_16B01.ctg.ctg7180000412305 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_20F03.ctg.jtg7180000210637f_7180000287380f fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_04A09.ctg.ctg7180000160366 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_03G12.ctg.ctg7180000024454 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_17C06.ctg.ctg7180000109995 fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_05D02.ctg.jtg7180000057094r_7180000063301f_7180000063608r_7180000056437f_7180000096446f fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_04F02.ctg.ctg7180000275812 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_06B03.ctg.ctg7180000070058 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_21C02.ctg.ctg7180000229497 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_21D09.ctg.jtg7180000275875f_7180000199601f_7180000214782r_7180000275876f fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_10G08.ctg.ctg7180000328939 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_22D10.ctg.ctg7180000318270 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_01C08.ctg.ctg7180000102303 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_14A11.ctg.ctg7180000211873 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_21A08.ctg.ctg7180000169552 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_05G10.ctg.ctg7180000054735 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_52H12.ctg.ctg7180000456710 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_02E01.ctg.ctg7180000103336 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_03F02.ctg.ctg7180000020685 fp.2.Luci_02H12.ctg.ctg7180000020498
fp.3.Luci_04H03.ctg.ctg7180000199331 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_06B06.ctg.ctg7180000049517 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_05C01.ctg.ctg7180000054564 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_62K06.ctg.ctg7180000265529 fp.2.Luci_02H12.ctg.ctg7180000020012
fp.3.Luci_04G12.ctg.ctg7180000169362 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_05D05.ctg.ctg7180000093011 fp.2.Luci_02H12.ctg.ctg7180000020141
fp.3.Luci_21B12.ctg.ctg7180000241668 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_02A07.ctg.ctg7180000029125 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_04E12.ctg.ctg7180000032290 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_62K01.ctg.ctg7180000240753 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_02F02.ctg.ctg7180000067054 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_03F02.ctg.ctg7180000019948 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_01D06.ctg.ctg7180000031133 fp.2.Luci_02H12.ctg.ctg7180000019697
fp.3.Luci_02F06.ctg.ctg7180000047645 fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_14H05.ctg.ctg7180000213839 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_04E08.ctg.ctg7180000044900 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_12B07.ctg.ctg7180000169451 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_03H12.ctg.ctg7180000087986 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_01D05.ctg.ctg7180000047348 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_81B09.ctg.ctg7180000092476 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_07G06.ctg.jtg7180000121708f_7180000121709f fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_52H04.ctg.jtg7180000396333f_7180000384662r fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_12G01.ctg.ctg7180000154211 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_05E01.ctg.ctg7180000050287 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_02E10.ctg.ctg7180000053928 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_05H05.ctg.ctg7180000065131 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_12F07.ctg.jtg7180000210748f_7180000210749f fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_01D10.ctg.ctg7180000190946 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_03B05.ctg.ctg7180000050746 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_02F09.ctg.ctg7180000037043 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_02H02.ctg.jtg7180000063198f_7180000091869f fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_01H11.ctg.ctg7180000103065 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_02D01.ctg.ctg7180000072128 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_12A02.ctg.ctg7180000137925 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_05A09.ctg.jtg7180000065152f_7180000065153f fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_61K06.ctg.ctg7180000698714 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_81B08.ctg.ctg7180000045809 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_01F06.ctg.ctg7180000166306 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_03A04.ctg.ctg7180000071446 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_81C01.ctg.ctg7180000105951 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_05B05.ctg.jtg7180000078966f_7180000105210f_7180000080704f_7180000079348r fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_05C09.ctg.ctg7180000103174 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_05A02.ctg.ctg7180000097273 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_03F03.ctg.ctg7180000044999 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_01B08.ctg.ctg7180000320416 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_17G09.ctg.ctg7180000097580 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_03B04.ctg.ctg7180000031904 fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_04A07.ctg.ctg7180000080672 fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_04B01.ctg.ctg7180000129734 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_19D09.ctg.jtg7180000291521f_7180000289098f fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_23C03.ctg.ctg7180000117430 fp.2.Luci_02H12.ctg.ctg7180000020274
fp.3.Luci_05A07.ctg.ctg7180000062293 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_05C11.ctg.jtg7180000083467f_7180000083468f fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_05G02.ctg.ctg7180000092184 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_21H11.ctg.ctg7180000221878 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_02A01.ctg.ctg7180000071498 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_05G01.ctg.ctg7180000107102 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_03B04.ctg.ctg7180000031779 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_01F09.ctg.ctg7180000042464 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_01G08.ctg.ctg7180000128239 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_01E03.ctg.ctg7180000117952 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_06B06.ctg.ctg7180000035001 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_81B07.ctg.ctg7180000085151 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_14H03.ctg.ctg7180000155538 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_02G10.ctg.ctg7180000068788 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_19F08.ctg.ctg7180000368311 fp.2.Luci_02H12.ctg.ctg7180000020001
fp.3.Luci_02B10.ctg.ctg7180000043739 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_05B11.ctg.jtg7180000101598f_7180000097696f fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_01H12.ctg.ctg7180000021225 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_01G02.ctg.ctg7180000029159 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_11A06.ctg.ctg7180000151127 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_01A05.ctg.ctg7180000038033 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_20F01.ctg.jtg7180000276249f_7180000276250f fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_11H05.ctg.jtg7180000190363r_7180000205349f fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_17C11.ctg.ctg7180000128421 fp.2.Luci_02H12.ctg.ctg7180000020001
fp.3.Luci_15F06.ctg.jtg7180000299324f_7180000296322r fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_03E03.ctg.ctg7180000021239 fp.2.Luci_02H12.ctg.ctg7180000020127
fp.3.Luci_01C09.ctg.ctg7180000304615 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_23C11.ctg.ctg7180000092015 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_01F11.ctg.ctg7180000046775 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_12G01.ctg.ctg7180000164680 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_10G11.ctg.ctg7180000181575 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_05A10.ctg.jtg7180000069436r_7180000097051f fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_05C12.ctg.ctg7180000094965 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_16A06.ctg.ctg7180000378211 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_10G01.ctg.ctg7180000203156 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_81B03.ctg.ctg7180000178549 fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_03F02.ctg.ctg7180000026141 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_05A06.ctg.ctg7180000095194 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_07B10.ctg.ctg7180000125647 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_02F07.ctg.ctg7180000044940 fp.2.Luci_02H12.ctg.ctg7180000020001
fp.3.Luci_14D06.ctg.ctg7180000165870 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_03G10.ctg.ctg7180000029709 fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_02A01.ctg.ctg7180000072474 fp.2.Luci_02H12.ctg.ctg7180000020609
fp.3.Luci_02H01.ctg.ctg7180000077980 fp.2.Luci_02H12.ctg.ctg7180000019776
fp.3.Luci_03C06.ctg.jtg7180000054091f_7180000065384f_7180000065385f fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_05A09.ctg.ctg7180000037274 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_02A05.ctg.ctg7180000036025 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_64K04.ctg.ctg7180000518764 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_19E09.ctg.ctg7180000186838 fp.2.Luci_02H12.ctg.ctg7180000020193
fp.3.Luci_01B01.ctg.ctg7180000031769 fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_13G03.ctg.ctg7180000097180 fp.2.Luci_02H12.ctg.ctg7180000019757
fp.3.Luci_05D10.ctg.ctg7180000090137 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_02C05.ctg.ctg7180000073597 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_05A10.ctg.ctg7180000098194 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_02F02.ctg.ctg7180000065956 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_81E04.ctg.ctg7180000299530 fp.2.Luci_02H12.ctg.ctg7180000019646
fp.3.Luci_61K06.ctg.ctg7180000694412 fp.2.Luci_02H12.ctg.ctg7180000019833
fp.3.Luci_63K08.ctg.ctg7180000368883 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_03A11.ctg.ctg7180000098030 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_02G08.ctg.ctg7180000045497 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_17A08.ctg.ctg7180000150314 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_04F08.ctg.ctg7180000184530 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_03A07.ctg.ctg7180000043413 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_01F06.ctg.ctg7180000164557 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_01A08.ctg.ctg7180000039135 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_01D06.ctg.ctg7180000030741 fp.2.Luci_02H12.ctg.ctg7180000020609
fp.3.Luci_62K01.ctg.ctg7180000249109 fp.2.Luci_02H12.ctg.ctg7180000019848
fp.3.Luci_05A09.ctg.ctg7180000065879 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_18H05.ctg.ctg7180000162951 fp.2.Luci_02H12.ctg.ctg7180000020329
fp.3.Luci_05G12.ctg.ctg7180000050547 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_21A06.ctg.ctg7180000200002 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_12H02.ctg.jtg7180000118089f_7180000112326f fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_52D10.ctg.jtg7180000438740f_7180000438741f_7180000429749r fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_04G01.ctg.ctg7180000110136 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_18A06.ctg.ctg7180000160032 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_12E03.ctg.ctg7180000082949 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_19A08.ctg.jtg7180000348714f_7180000348715f fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_04G09.ctg.ctg7180000080451 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_03F04.ctg.ctg7180000052686 fp.2.Luci_02H12.ctg.ctg7180000020500
fp.3.Luci_05D10.ctg.ctg7180000084505 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_05C09.ctg.jtg7180000069064f_7180000102216f fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_14E11.ctg.ctg7180000119754 fp.2.Luci_02H12.ctg.ctg7180000019932
fp.3.Luci_64K08.ctg.ctg7180001443087 fp.2.Luci_02H12.ctg.ctg7180000019634
fp.3.Luci_03F04.ctg.ctg7180000053933 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_12E01.ctg.ctg7180000217286 fp.2.Luci_02H12.ctg.ctg7180000020141
fp.3.Luci_01G01.ctg.ctg7180000046410 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_02H02.ctg.ctg7180000097015 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_23D06.ctg.ctg7180000173130 fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_81C08.ctg.ctg7180000293748 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_01C05.ctg.ctg7180000070744 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_04H09.ctg.ctg7180000148393 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_06B05.ctg.ctg7180000051729 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_52A10.ctg.jtg7180000952268f_7180000681353r_7180000595892f_7180000951809f_7180000971677f fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_04H08.ctg.ctg7180000104959 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_52A09.ctg.ctg7180000274820 fp.2.Luci_02H12.ctg.ctg7180000019793
fp.3.Luci_01G06.ctg.ctg7180000062468 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_20E08.ctg.ctg7180000317881 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_02E03.ctg.ctg7180000067605 fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_20H03.ctg.ctg7180000263491 fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_04H09.ctg.jtg7180000148060f_7180000148061f fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_03H10.ctg.ctg7180000084401 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_03D04.ctg.ctg7180000055768 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_51A05.ctg.ctg7180000871993 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_22F02.ctg.ctg7180000230407 fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_01G07.ctg.ctg7180000076379 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_04A07.ctg.ctg7180000133395 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_15A07.ctg.ctg7180000268430 fp.2.Luci_02H12.ctg.ctg7180000019768
fp.3.Luci_05A06.ctg.ctg7180000096444 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_11B12.ctg.ctg7180000243148 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_21H08.ctg.ctg7180000253369 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_05F08.ctg.ctg7180000046930 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_52C02.ctg.jtg7180000736112r_7180000741578f_7180000396324r fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_81B08.ctg.ctg7180000082809 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_51A03.ctg.ctg7180000310059 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_04E07.ctg.ctg7180000046571 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_01D07.ctg.ctg7180000219858 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_23A03.ctg.ctg7180000186372 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_03H11.ctg.ctg7180000088430 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_21H05.ctg.ctg7180000294791 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_03F01.ctg.ctg7180000026674 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_81B06.ctg.ctg7180000089163 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_02H01.ctg.ctg7180000056490 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_04H10.ctg.ctg7180000198839 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_13E03.ctg.ctg7180000099065 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_01B01.ctg.ctg7180000032788 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_99A50.ctg.ctg7180002134987 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_03D05.ctg.ctg7180000071053 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_01D01.ctg.jtg7180000127947f_7180000126602r fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_05D08.ctg.ctg7180000095736 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_03H09.ctg.ctg7180000171139 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_05A06.ctg.jtg7180000094825f_7180000094826f fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_01F03.ctg.ctg7180002165324 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_06B03.ctg.ctg7180000070323 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_05H04.ctg.ctg7180000024908 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_81B09.ctg.ctg7180000092269 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_05A02.ctg.ctg7180000104367 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_62K03.ctg.ctg7180000258264 fp.2.Luci_02H12.ctg.ctg7180000020116
fp.3.Luci_20G08.ctg.ctg7180000190292 fp.2.Luci_02H12.ctg.ctg7180000019668
